title;description;href;vol_price;volume;price;strike;price_1;discount;discount_1
Паганини;Состав: смесь арабики (75%) и робусты (25%);https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/tabera-paganini/#title;1 кг. (1 400 руб. );1000;1400;0;1400,0;1190,0;1190,0
Колумбия Супремо;Состав: Колумбия Супремо Антьокия - 100% арабика;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/tabera-kolumbiya-supremo/#title;200 гр. (300 руб. );200;300;0;1500,0;255,0;1275,0
Колумбия Супремо;Состав: Колумбия Супремо Антьокия - 100% арабика;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/tabera-kolumbiya-supremo/#title;500 гр. (750 руб. );500;750;0;1500,0;637,5;1275,0
Колумбия Супремо;Состав: Колумбия Супремо Антьокия - 100% арабика;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/tabera-kolumbiya-supremo/#title;1 кг. (1 400 руб. );1000;1400;0;1400,0;1190,0;1190,0
Эфиопия Иргачеффе гр.2;Состав: Эфиопия Иргачеффе гр.2 - 100% арабика;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/efiopiya-irgacheffe-gr-2/#title;200 гр. (400 руб. );200;400;0;2000,0;340,0;1700,0
Эфиопия Иргачеффе гр.2;Состав: Эфиопия Иргачеффе гр.2 - 100% арабика;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/efiopiya-irgacheffe-gr-2/#title;500 гр. (900 руб. );500;900;0;1800,0;765,0;1530,0
Эфиопия Иргачеффе гр.2;Состав: Эфиопия Иргачеффе гр.2 - 100% арабика;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/efiopiya-irgacheffe-gr-2/#title;1 кг. (1 600 руб. );1000;1600;0;1600,0;1360,0;1360,0
Сарагоса;Состав: смесь двух арабик из Гватемалы и Эфиопии;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/tabera-saragosa/#title;200 гр. (300 руб. );200;300;0;1500,0;255,0;1275,0
Сарагоса;Состав: смесь двух арабик из Гватемалы и Эфиопии;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/tabera-saragosa/#title;500 гр. (750 руб. );500;750;0;1500,0;637,5;1275,0
Сарагоса;Состав: смесь двух арабик из Гватемалы и Эфиопии;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/tabera-saragosa/#title;1 кг. (1 400 руб. );1000;1400;0;1400,0;1190,0;1190,0
